link,title,location,company_name,description,post_time
https://wuzzuf.net//jobs/p/wy0FwhODaPhV-Oracle-Database-Administrator-Easy-System-Cairo-Egypt?o=34&l=sp&t=sj&a=data science|search-v3|hpb,Oracle Database Administrator,"New Capital, Cairo, Egypt ",Easy System -,Full Time Part TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Oracle · Database · Linux · developer · Information Technology (IT) · Computer Science · Software Development,22 days ago
https://wuzzuf.net//jobs/p/OCdzsnajb0vx-Network-and-Data-Protection-Team-leader-Premier-Services-and-Recruitment-Cairo-Egypt?o=35&l=sp&t=sj&a=data science|search-v3|hpb,Network and Data Protection Team leader,"New Cairo, Cairo, Egypt ",Premier Services and Recruitment -,Full Time Experienced · 7 - 9 Yrs of Exp · IT/Software Development · EMC · Cisco · SAN Storage · Data · Networks · Avamar,1 month ago
https://wuzzuf.net//jobs/p/hADeVfWvhV6Q-Senior-BI-Developer-Excel-Systems-Giza-Egypt?o=36&l=sp&t=sj&a=data science|search-v3|hpb,Senior BI Developer,"Sheikh Zayed, Giza, Egypt ",Lumin -,Full Time Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · SSIS · Microsoft Power BI · BI technologies · ETL · OLAP · BI Developer · Oracle BI · SQL queries,25 days ago
https://wuzzuf.net//jobs/p/NnXOsaotY7gM-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=37&l=sp&t=sj&a=data science|search-v3|hpb,Data Analyst,"Maadi, Cairo, Egypt ",Hands of Hope Physical Therapy & Wellness -,Full Time Experienced · 2 - 4 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau,2 months ago
https://wuzzuf.net//jobs/p/sr8jpXDVZgPu-Full-Stack-Developer-UNIFI-Solutions-Cairo-Egypt?o=38&l=sp&t=sj&a=data science|search-v3|hpb,Full Stack Developer,"Nasr City, Cairo, Egypt ",UNIFI Solutions -,Full Time Entry Level · 1 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Node.js · React.js · MongoDB · MySQL · Git · Database · JavaScript · material UI,25 days ago
https://wuzzuf.net//jobs/p/1Dk339wTzB2Q-Business-Analyst-Keys-Group-Services-Cairo-Egypt?o=39&l=sp&t=sj&a=data science|search-v3|hpb,Business Analyst,"Nasr City, Cairo, Egypt ",Keys Group Services -,Full Time Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · analytical · Business Analysis · Computer Science · Data · Data Analysis · English,26 days ago
https://wuzzuf.net//jobs/p/WPhkFh7IDDRj-Business-Intelligence-Team-Leader-Giza-Egypt?o=40&l=sp&t=sj&a=data science|search-v3|hpb,Business Intelligence Team Leader,"Dokki, Giza, Egypt ",Confidential -,Full Time Work From HomeExperienced · 4 - 8 Yrs of Exp · Analyst/Research · Computer Science · Project Management · SQL · Data Modeling,30 days ago
https://wuzzuf.net//jobs/p/fLWuqy2Cgrb1-Data-Center-Manager-Cairo-Egypt?o=41&l=sp&t=sj&a=data science|search-v3|hpb,Data Center Manager,"Nasr City, Cairo, Egypt ",Confidential -,Full Time Manager · 8 - 10 Yrs of Exp · IT/Software Development · Operations/Management · Information technology · ITIL · Science · Engineering,2 months ago
https://wuzzuf.net//jobs/p/slvEw5jdC0Qh-Senior-Business-Data-Analyst-Riyadh-Saudi-Arabia?o=42&l=sp&t=sj&a=data science|search-v3|hpb,Senior Business / Data Analyst,"Riyadh, Saudi Arabia ",Confidential -,Full Time Experienced · 4 - 7 Yrs of Exp · Analyst/Research · Analysis · Business Analysis · Database · Data Analysis,1 month ago
https://wuzzuf.net//jobs/p/oh6dGqXKXTxk-Oracle-Database-Administrator-Egabi-FSI-Cairo-Egypt?o=43&l=sp&t=sj&a=data science|search-v3|hpb,Oracle Database Administrator,"Heliopolis, Cairo, Egypt ",Egabi FSI -,Full Time Experienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Oracle · Database · Information Technology (IT) · Linux · Oracle Data Guard · SQL · Oracle Database,1 month ago
